species_id,longdecimal,latdecimal
MTHORN,145.3741999,-16.16418104
MTHORN,145.3681794,-16.1628517
MTHORN,145.3662496,-16.16100236
MTHORN,145.4161059,-16.07778337
MTHORN,145.2100062,-15.89143076
MTHORN,145.2033268,-15.88861915
MTHORN,145.2164217,-15.88819442
MTHORN,145.2197231,-15.88758906
MTHORN,145.2254112,-15.87995454
MTHORN,145.2303792,-15.87774508
